a.ecor,1,2,3,4,5,6,7,8,9,10,11,12
124,27986380688.0,27986380688.0,27986380688.0,27986380688.0,27986380688.0,27986380688.0,27986380688.0,27986380688.0,27986380688.0,27986380688.0,27986380688.0,27986380688.0
127,42508066336.0,42508066336.0,42508066336.0,42508066336.0,42508066336.0,42508066336.0,42508066336.0,42508066336.0,42508066336.0,42508066336.0,42508066336.0,42508066336.0
130,981162544.0,981162544.0,981162544.0,981162544.0,981162544.0,981162544.0,981162544.0,981162544.0,981162544.0,981162544.0,981162544.0,981162544.0
131,3174149720.0,3174149720.0,3174149720.0,3174149720.0,3174149720.0,3174149720.0,3174149720.0,3174149720.0,3174149720.0,3174149720.0,3174149720.0,3174149720.0
132,45725038440.0,45725038440.0,45725038440.0,45725038440.0,45725038440.0,45725038440.0,45725038440.0,45725038440.0,45725038440.0,45725038440.0,45725038440.0,45725038440.0
133,55694835744.0,55694835744.0,55694835744.0,55694835744.0,55694835744.0,55694835744.0,55694835744.0,55694835744.0,55694835744.0,55694835744.0,55694835744.0,55694835744.0
134,923510212848.0,923510212848.0,923510212848.0,923510212848.0,923510212848.0,923510212848.0,923510212848.0,923510212848.0,923510212848.0,923510212848.0,923510212848.0,923510212848.0
135,19879740952.0,19879740952.0,19879740952.0,19879740952.0,19879740952.0,19879740952.0,19879740952.0,19879740952.0,19879740952.0,19879740952.0,19879740952.0,19879740952.0
136,110030873648.0,103757329632.0,110030873648.0,110030873648.0,110030873648.0,110030873648.0,110030873648.0,110030873648.0,110030873648.0,110030873648.0,110030873648.0,110030873648.0
137,3405932472.0,3405932472.0,3405932472.0,3405932472.0,3405932472.0,3405932472.0,3405932472.0,3405932472.0,3405932472.0,3405932472.0,3405932472.0,3405932472.0
138,75854529744.0,75854529744.0,75854529744.0,75854529744.0,75854529744.0,75854529744.0,75854529744.0,75854529744.0,75854529744.0,75854529744.0,75854529744.0,75854529744.0
139,20315784.0,20315784.0,20315784.0,20315784.0,20315784.0,20315784.0,20315784.0,20315784.0,20315784.0,20315784.0,20315784.0,20315784.0
140,4346560.0,4346560.0,4346560.0,4346560.0,4346560.0,4346560.0,4346560.0,4346560.0,4346560.0,4346560.0,4346560.0,4346560.0
141,520446712.0,520446712.0,520446712.0,520446712.0,520446712.0,520446712.0,520446712.0,520446712.0,520446712.0,520446712.0,520446712.0,520446712.0
143,32728584688.0,32728584688.0,32728584688.0,32728584688.0,32728584688.0,32728584688.0,32728584688.0,32728584688.0,32728584688.0,32728584688.0,32728584688.0,32728584688.0
144,19101100560.0,19101100560.0,19101100560.0,19101100560.0,19101100560.0,19101100560.0,19101100560.0,19101100560.0,19101100560.0,19101100560.0,19101100560.0,19101100560.0
145,30172202936.0,30172202936.0,30172202936.0,30172202936.0,30172202936.0,30172202936.0,30172202936.0,30172202936.0,30172202936.0,30172202936.0,30172202936.0,30172202936.0
147,13618173648.0,13618173648.0,13618173648.0,13618173648.0,13618173648.0,13618173648.0,13618173648.0,13618173648.0,13618173648.0,13618173648.0,13618173648.0,13618173648.0
148,1055137744.0,1055137744.0,1055137744.0,1055137744.0,1055137744.0,1055137744.0,1055137744.0,1055137744.0,1055137744.0,1055137744.0,1055137744.0,1055137744.0
